url,postcode,page_number,property_url
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-terrace-qld-palmview-140959172
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140363471
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140160611
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140351687
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-141014332
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140676263
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-glenview-139946471
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-diamond+valley-139395579
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-mooloolah+valley-140889132
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-mooloolah+valley-140593435
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-mooloolah+valley-140823495
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140215535
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-glenview-140468959
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-mooloolah+valley-140665079
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140457875
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-townhouse-qld-palmview-141170720
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-residential+land-qld-glenview-203367947
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-glenview-140578735
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-mooloolah+valley-140857756
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140495595
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-palmview-140073255
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-mooloolah+valley-140785695
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-house-qld-mooloolah+valley-140250311
https://www.realestate.com.au/sold/in-4553/list-1?maxBeds=4&misc=ex-no-sale-price&activeSort=solddate,4553,1,https://www.realestate.com.au/sold/property-residential+land-qld-palmview-203405987
